,index,Head_size,Brain_weight
0,0,4512,1530
1,1,3738,1297
2,2,4261,1335
3,3,3777,1282
4,4,4177,1590
5,5,3585,1300
6,6,3785,1400
7,7,3559,1255
8,8,3613,1355
9,9,3982,1375
10,10,3443,1340
11,11,3993,1380
12,12,3640,1355
13,13,4208,1522
14,14,3832,1208
15,15,3876,1405
16,16,3497,1358
17,17,3466,1292
18,18,3095,1340
19,19,4424,1400
20,20,3878,1357
21,21,4046,1287
22,22,3804,1275
23,23,3710,1270
24,24,4747,1635
25,25,4423,1505
26,26,4036,1490
27,27,4022,1485
28,28,3454,1310
29,29,4175,1420
30,30,3787,1318
31,31,3796,1432
32,32,4103,1364
33,33,4161,1405
34,34,4158,1432
35,35,3814,1207
36,36,3527,1375
37,37,3748,1350
38,38,3334,1236
39,39,3492,1250
40,40,3962,1350
41,41,3505,1320
42,42,4315,1525
43,43,3804,1570
44,44,3863,1340
45,45,4034,1422
46,46,4308,1506
47,47,3165,1215
48,48,3641,1311
49,49,3644,1300
50,50,3891,1224
51,51,3793,1350
52,52,4270,1335
53,53,4063,1390
54,54,4012,1400
55,55,3458,1225
56,56,3890,1310
57,57,4166,1560
58,58,3935,1330
59,59,3669,1222
60,60,3866,1415
61,61,3393,1175
62,62,4442,1330
63,63,4253,1485
64,64,3727,1470
65,65,3329,1135
66,66,3415,1310
67,67,3372,1154
68,68,4430,1510
69,69,4381,1415
70,70,4008,1468
71,71,3858,1390
72,72,4121,1380
73,73,4057,1432
74,74,3824,1240
75,75,3394,1195
76,76,3558,1225
77,77,3362,1188
78,78,3930,1252
79,79,3835,1315
80,80,3830,1245
81,81,3856,1430
82,82,3249,1279
83,83,3577,1245
84,84,3933,1309
85,85,3850,1412
86,86,3309,1120
87,87,3406,1220
88,88,3506,1280
89,89,3907,1440
90,90,4160,1370
91,91,3318,1192
92,92,3662,1230
93,93,3899,1346
94,94,3700,1290
95,95,3779,1165
96,96,3473,1240
97,97,3490,1132
98,98,3654,1242
99,99,3478,1270
100,100,3495,1218
